Unnamed: 0,temp_to_estimate,dist_to_central_station,year,month,week,day_of_year,day_of_month,day_of_week,hour,complete_timestamp(YYYY_M_DD_HH_M),barometer_hpa,temp_centr,hightemp_centr,lowtemp_centr,hum,dewpoint__c,wetbulb_c,windspeed_km_h,windrun_km,highwindspeed_km_h,windchill_c,heatindex_c,thwindex_c,thswindex_c,rain_mm,rain_rate_mm_h,solar_rad_w_m_2,solar_energy_ly,high_solar_rad_w_m_2,ET_Mm,heating_degree_days,cooling_degree_days,humidity_rh,solar_klux,timestamp,status,sensor
67.0,19.869,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,12.0,2021_8_27_12_0,1010.9,17.5,17.5,16.8,89.0,15.7,16.3,6.4,1.61,12.9,17.5,17.9,17.9,20.6,0.0,0.0,268.0,5.76,348.0,0.1,0.009,0.0,80.5,18.0,2021-08-27 12:00:00,Visited,1
69.0,20.68,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,12.0,2021_8_27_12_2,1010.9,18.3,18.3,17.9,84.0,15.6,16.5,9.7,2.41,19.3,18.3,18.7,18.7,21.5,0.0,0.0,285.0,6.13,313.0,0.0,0.0,0.0,77.7,22.0,2021-08-27 12:02:00,Visited,2
61.0,17.226,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,10.0,2021_8_27_10_2,1010.1,15.8,15.8,15.6,93.0,14.6,15.0,8.0,2.01,17.7,15.8,16.1,16.1,16.3,0.8,3.2,83.0,1.79,91.0,0.0,0.027,0.0,91.7,5.0,2021-08-27 10:02:00,Visited,4
76.0,22.751,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,14.0,2021_8_27_14_1,1010.4,20.9,20.9,20.8,70.0,15.2,16.9,12.9,3.22,22.5,20.5,21.1,20.6,26.5,0.0,0.0,795.0,17.1,807.0,0.0,0.0,0.027,50.1,61.0,2021-08-27 14:01:00,Visited,1
69.0,20.68,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,12.0,2021_8_27_12_2,1010.9,18.3,18.3,17.9,84.0,15.6,16.5,9.7,2.41,19.3,18.3,18.7,18.7,21.5,0.0,0.0,285.0,6.13,313.0,0.0,0.0,0.0,77.7,22.0,2021-08-27 12:02:00,Visited,2
76.0,22.751,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,14.0,2021_8_27_14_1,1010.4,20.9,20.9,20.8,70.0,15.2,16.9,12.9,3.22,22.5,20.5,21.1,20.6,26.5,0.0,0.0,795.0,17.1,807.0,0.0,0.0,0.027,50.1,61.0,2021-08-27 14:01:00,Visited,1
80.0,24.886,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,15.0,2021_8_27_15_1,1010.2,21.7,21.9,21.7,67.0,15.3,17.1,9.7,2.41,16.1,21.7,21.8,21.8,28.0,0.0,0.0,722.0,15.53,731.0,0.0,0.0,0.035,50.5,52.0,2021-08-27 15:01:00,Visited,6
84.0,27.287,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,16.0,2021_8_27_16_1,1009.9,21.9,22.0,21.9,67.0,15.5,17.3,8.0,2.01,14.5,21.9,22.0,22.0,27.7,0.0,0.0,509.0,10.95,684.0,0.0,0.0,0.037,52.0,30.0,2021-08-27 16:01:00,Visited,3
86.0,25.213,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,16.0,2021_8_27_16_3,1010.2,22.3,22.5,21.9,67.0,15.9,17.6,8.0,2.01,16.1,22.3,22.5,22.5,27.4,0.0,0.0,394.0,8.48,626.0,0.0,0.0,0.041,54.6,31.0,2021-08-27 16:03:00,Visited,1
90.0,24.128,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,17.0,2021_8_27_17_3,1009.9,22.1,22.3,21.9,67.0,15.7,17.5,4.8,1.21,9.7,22.1,22.3,22.3,26.2,0.0,0.0,259.0,5.57,399.0,0.0,0.0,0.039,61.1,14.0,2021-08-27 17:03:00,Visited,6
93.0,22.158,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,18.0,2021_8_27_18_2,1009.6,21.8,22.3,21.8,68.0,15.7,17.4,4.8,1.21,11.3,21.8,22.0,22.0,25.4,0.0,0.0,196.0,4.22,239.0,0.0,0.0,0.036,66.0,7.0,2021-08-27 18:02:00,Visited,5
84.0,27.287,1101.0,2021.0,8.0,34.0,239.0,27.0,5.0,16.0,2021_8_27_16_1,1009.9,21.9,22.0,21.9,67.0,15.5,17.3,8.0,2.01,14.5,21.9,22.0,22.0,27.7,0.0,0.0,509.0,10.95,684.0,0.0,0.0,0.037,52.0,30.0,2021-08-27 16:01:00,Visited,3
96.0,21.324,1679.0,2021.0,8.0,34.0,239.0,27.0,5.0,19.0,2021_8_27_19_1,1009.4,21.6,21.8,21.6,71.0,16.1,17.7,3.2,0.8,4.8,21.6,21.9,21.9,23.4,0.0,0.0,103.0,2.22,137.0,0.0,0.0,0.034,68.0,2.0,2021-08-27 19:01:00,Visited,1
104.0,18.008,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,20.0,2021_8_27_20_1,1009.7,18.4,19.3,18.4,83.0,15.5,16.4,0.0,0.0,0.0,18.4,18.8,18.8,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,85.4,0.0,2021-08-27 20:01:00,Visited,6
106.0,18.005,1349.0,2021.0,8.0,34.0,239.0,27.0,5.0,20.0,2021_8_27_20_3,1010.1,18.0,18.1,17.9,86.0,15.6,16.4,0.0,0.0,0.0,18.0,18.4,18.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,88.3,0.0,2021-08-27 20:03:00,Visited,7
93.0,22.158,788.0,2021.0,8.0,34.0,239.0,27.0,5.0,18.0,2021_8_27_18_2,1009.6,21.8,22.3,21.8,68.0,15.7,17.4,4.8,1.21,11.3,21.8,22.0,22.0,25.4,0.0,0.0,196.0,4.22,239.0,0.0,0.0,0.036,66.0,7.0,2021-08-27 18:02:00,Visited,5
